,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
21477,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/24/2008,Parts per billion,11.434783,16,19,15,Parts per million,0.033583,0.044,10,37,Parts per billion,1.826087,4,20,6,Parts per million,0.3,0.3,0,3
21481,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/25/2008,Parts per billion,11.478261,20,3,19,Parts per million,0.03075,0.038,8,32,Parts per billion,1.73913,4,13,6,Parts per million,0.308333,0.4,3,5
21485,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/26/2008,Parts per billion,10.173913,21,5,20,Parts per million,0.027833,0.038,11,32,Parts per billion,2.043478,5,8,7,Parts per million,0.2625,0.3,1,3
21489,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/27/2008,Parts per billion,19.130435,31,2,29,Parts per million,0.020292,0.032,10,27,Parts per billion,2.304348,5,8,7,Parts per million,0.320833,0.4,6,5
21493,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/28/2008,Parts per billion,17.347826,29,8,27,Parts per million,0.021292,0.035,10,30,Parts per billion,3.130435,12,8,17,Parts per million,0.3125,0.4,6,5
21497,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/29/2008,Parts per billion,15.347826,23,6,22,Parts per million,0.020625,0.032,11,27,Parts per billion,2,4,7,6,Parts per million,0.295833,0.4,9,5
21501,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/30/2008,Parts per billion,14.565217,25,5,24,Parts per million,0.025208,0.036,11,31,Parts per billion,2.478261,7,8,10,Parts per million,0.291667,0.4,8,5
21505,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/31/2008,Parts per billion,11.304348,24,5,23,Parts per million,0.031875,0.042,11,36,Parts per billion,2.434783,5,14,7,Parts per million,0.258333,0.3,5,3
21509,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/1/2008,Parts per billion,10.173913,17,7,16,Parts per million,0.031875,0.045,10,38,Parts per billion,3,6,13,9,Parts per million,0.283333,0.3,3,3
21513,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/2/2008,Parts per billion,14.652174,29,23,27,Parts per million,0.031208,0.042,9,36,Parts per billion,2.434783,5,5,7,Parts per million,0.295833,0.3,0,3
21517,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/3/2008,Parts per billion,15.434783,29,21,27,Parts per million,0.034708,0.042,10,36,Parts per billion,2.130435,4,14,6,Parts per million,0.325,0.4,15,5
21521,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/4/2008,Parts per billion,15.173913,25,17,24,Parts per million,0.029958,0.038,0,32,Parts per billion,1.652174,3,22,4,Parts per million,0.304167,0.4,16,5
